GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24005402304,0.459580838,Census Tract 4023.04; Baltimore County; Maryland,1268,972,608,30,23,0,0,0,1725,1557,20,0,2697,685,203,9,86009,1736,88
24005402305,0.417840376,Census Tract 4023.05; Baltimore County; Maryland,924,599,626,4,4,0,0,0,1223,982,105,0,1856,508,203,24,47182,1265,96
24005402306,0.416588566,Census Tract 4023.06; Baltimore County; Maryland,1619,1111,1061,0,0,0,0,0,2498,1975,54,0,3136,752,115,52,62738,2537,138
24005402307,0.391606591,Census Tract 4023.07; Baltimore County; Maryland,1695,1478,802,0,0,0,0,0,2735,2206,290,0,3638,578,197,19,54225,2883,240
24005402403,0.487719298,Census Tract 4024.03; Baltimore County; Maryland,1021,977,88,0,0,0,0,0,1049,856,100,0,1741,539,176,24,69904,1049,56
24005402404,0.420975752,Census Tract 4024.04; Baltimore County; Maryland,1394,854,1256,0,0,0,0,0,2309,2000,234,0,3376,978,295,48,49177,2309,191
24005402405,0.446779964,Census Tract 4024.05; Baltimore County; Maryland,1624,1367,547,1,0,0,0,0,1830,1616,84,0,2693,514,269,20,59167,1830,78
24005402407,0.404072883,Census Tract 4024.07; Baltimore County; Maryland,429,298,195,13,13,0,0,13,610,473,31,0,930,185,105,8,79861,620,91
24005402408,0.318688119,Census Tract 4024.08; Baltimore County; Maryland,522,482,103,0,0,0,0,0,1163,1001,51,47,1470,317,120,21,83672,1163,150
24005402409,0.30754352,Census Tract 4024.09; Baltimore County; Maryland,1321,1138,743,0,0,0,0,0,2620,1948,73,0,2835,930,197,44,61359,2815,83
24005402503,0.3795053,Census Tract 4025.03; Baltimore County; Maryland,1997,1508,884,29,0,0,0,0,2589,1912,406,0,3741,715,290,64,59323,2629,327
24005402504,0.552810903,Census Tract 4025.04; Baltimore County; Maryland,1889,1733,412,26,0,0,0,0,2401,1803,98,0,3616,813,700,53,102171,2447,156
24005402505,0.445069204,Census Tract 4025.05; Baltimore County; Maryland,816,618,494,0,0,0,0,0,1759,1432,136,0,2101,417,276,0,70855,1759,34
24005402506,0.480049875,Census Tract 4025.06; Baltimore County; Maryland,1712,1501,624,8,0,0,0,0,2505,2289,57,0,3642,1058,239,36,93750,2550,144
24005402510,0.447034523,Census Tract 4025.10; Baltimore County; Maryland,1429,1098,1013,0,0,0,0,0,2612,2198,146,0,3531,730,708,102,102500,2612,43
24005402511,0.497050605,Census Tract 4025.11; Baltimore County; Maryland,1514,990,1254,209,0,0,0,0,3117,2435,196,0,3945,405,1303,44,98343,3139,101
24005402602,0.458590007,Census Tract 4026.02; Baltimore County; Maryland,939,836,250,33,0,0,0,0,1014,828,89,0,1705,477,117,0,100839,1056,36
24005402603,0.52456977,Census Tract 4026.03; Baltimore County; Maryland,2262,1987,645,23,0,0,0,0,3099,2659,56,0,4574,496,780,98,101875,3157,158
24005402604,0.512380192,Census Tract 4026.04; Baltimore County; Maryland,2662,2265,1159,19,0,0,0,0,3589,2626,282,0,5055,986,621,59,103125,3611,325
24005403100,0.508705114,Census Tract 4031; Baltimore County; Maryland,773,679,199,22,0,0,0,0,1021,928,49,0,1737,449,165,14,93879,1038,62
24005403201,0.499012248,Census Tract 4032.01; Baltimore County; Maryland,1574,1392,417,47,5,0,0,0,1846,1279,280,0,2482,542,226,38,92366,1870,54
24005403202,0.492037342,Census Tract 4032.02; Baltimore County; Maryland,853,730,222,0,0,0,0,0,1016,831,17,0,1457,336,185,70,74960,1016,124
24005403300,0.512651265,Census Tract 4033; Baltimore County; Maryland,813,761,160,26,19,0,0,0,1157,851,84,0,1633,290,216,9,80577,1157,86
24005403401,0.547569589,Census Tract 4034.01; Baltimore County; Maryland,1187,1056,442,196,33,9,0,0,1418,1007,58,0,3127,485,402,73,85278,1502,8
24005403402,0.426319176,Census Tract 4034.02; Baltimore County; Maryland,1916,1468,822,81,0,0,0,0,2266,1733,145,0,3850,767,351,31,68533,2313,276
24005403500,0.501747782,Census Tract 4035; Baltimore County; Maryland,1892,1564,733,259,27,0,0,0,2157,1647,68,0,3644,533,781,197,103500,2157,187
24005403601,0.551516886,Census Tract 4036.01; Baltimore County; Maryland,1836,1510,771,363,31,0,0,0,2390,1835,15,0,3171,248,692,144,103221,2505,76
24005403602,0.484822203,Census Tract 4036.02; Baltimore County; Maryland,1871,1469,939,402,16,0,0,0,3234,2673,96,0,3835,99,975,301,84643,3272,193
